#,PCT Mile (NB),Name,Entry/Exit,Resupply,Landmark,Points of Odyssey,State,Description / Notes,Source
36,943.7,Tuolumne Meadows,X,X,X,Yes,CA,"Subalpine meadow in the heart of Yosemite National Park; store, post office, campground.",Halfmile PCT Resupply & Town Notes (2023)
37,1017.1,Sonora Pass / Hwy 108,X,X,,,CA,High mountain pass; gateway to Kennedy Meadows North and Bridgeport.,Halfmile PCT Resupply & Town Notes (2023)
38,1062,Ebbetts Pass / Hwy 4,X,,,,CA,Highway crossing into the Carson-Iceberg / Mokelumne Wilderness.,USFS Humboldt-Toiyabe NF (Sonora Pass to Carson Pass)
39,1077,Carson Pass / Hwy 88,X,,,,CA,PCT trailhead with information center; Carson Pass Management Area.,USFS Humboldt-Toiyabe NF / Komoot
40,1092,South Lake Tahoe (Hwy 50 access),X,X,X,Yes,CA,Large town on the south shore of Lake Tahoe; full resupply services.,Halfmile PCT Resupply & Town Notes (2023)
41,1093.5,Echo Lake / Echo Summit,X,X,X,,CA,"Resort store and trailhead on the shore of Echo Lake, Desolation Wilderness / Lake Tahoe basin.",Halfmile PCT Resupply & Town Notes (2023)
42,1154.6,Donner Pass / I-80,X,X,X,Yes,CA,"Historic Sierra Nevada crossing; Donner Ski Ranch, Soda Springs, Truckee all accessible.",Halfmile PCT Resupply & Town Notes (2023)
43,1159,Barker Pass (Tahoe City / Palisades Tahoe access),X,,X,,CA,"Common access point for the Tahoe City / Palisades Tahoe (formerly Squaw Valley) area -- together with Echo Lake, forms the two entry/exit points of the popular Tahoe-area section.",PCT section-hike literature (Halfmile / Tahoe Rim Trail junction notes)
44,1195,Sierra Buttes,,,X,,CA,Dramatic granite spires visible from the trail near Sierra City.,Halfmile PCT Trail Notes
45,1196.6,Yuba Pass / Hwy 49 (Sierra City access),X,X,,,CA,Highway crossing; Sierra City 1.4 mi SW.,Halfmile PCT Resupply & Town Notes (2023)
46,1264.7,Bucks Lake Rd (Bucks Lake alternate),X,X,,,CA,Alternate route access to Bucks Lake lodges and Quincy.,Halfmile PCT Resupply & Town Notes (2023)
47,1288,Belden / Hwy 70,X,X,,,CA,Feather River canyon resort/lodge at a highway crossing.,Halfmile PCT Resupply & Town Notes (2023)
48,1332.3,Hwy 36 (Chester access),X,X,,,CA,Highway crossing; Chester 7.5 mi E.,Halfmile PCT Resupply & Town Notes (2023)
49,1348,Lassen Volcanic National Park,,,X,Yes,CA,PCT skirts the park; Drakesbad Guest Ranch is inside park boundary at mile 1351.,NPS / Halfmile PCT Resupply & Town Notes (2023)
50,1374.4,"Old Station / Hwy 44,89",X,X,,,CA,Small community at a highway crossing near Lassen NP's north entrance.,Halfmile PCT Resupply & Town Notes (2023)
51,1412.3,Hwy 299 (Burney access),X,X,,,CA,Highway crossing; Burney 7.7 mi SW.,Halfmile PCT Resupply & Town Notes (2023)
52,1420,Burney Falls State Park,X,X,X,Yes,CA,State park campground with a well-known 129-ft waterfall; camp store accepts resupply.,Halfmile PCT Resupply & Town Notes (2023)
53,1502.1,Castella / I-5 (Mt. Shasta / Dunsmuir access),X,X,X,,CA,"Interstate crossing near Castle Crags State Park, in view of Mt. Shasta (14,179 ft).",Halfmile PCT Resupply & Town Notes (2023)
54,1600.7,Etna Summit / Sawyers Bar Rd,X,X,,,CA,Mountain pass; Etna 10.4 mi NE via Klamath National Forest.,Halfmile PCT Resupply & Town Notes (2023)
55,1620,Marble Mountain Wilderness,,,X,,CA,PCT traverses this Klamath Mountains wilderness area between Etna Summit and Seiad Valley.,USFS Klamath NF
56,1656.9,Seiad Valley / Hwy 96,X,X,,,CA,Small community directly on the trail along the Klamath River.,Halfmile PCT Resupply & Town Notes (2023)
57,1697,Oregon / California Border,,,X,Yes,OR/CA,State line crossing in the Siskiyou Mountains.,Halfmile PCT Trail Notes
58,1719.7,I-5 (Ashland / Callahan's Lodge access),X,X,,,OR,Interstate crossing; Ashland 13 mi NW.,Halfmile PCT Resupply & Town Notes (2023)
59,1774.3,Hwy 140 (Fish Lake Resort),X,X,,,OR,Resort 2 mi W of the highway crossing.,Halfmile PCT Resupply & Town Notes (2023)
60,1822.7,Crater Lake National Park (Mazama Village),X,X,X,Yes,OR,"America's deepest lake (1,943 ft); Mazama Village store/campground just off the PCT.",Halfmile PCT Resupply & Town Notes (2023) / NPS
61,1907.6,Hwy 58 (Shelter Cove Resort / Willamette Pass),X,X,X,,OR,Odell Lake resort; gateway to Diamond Peak Wilderness and Waldo Lake.,Halfmile PCT Resupply & Town Notes (2023)
62,1953.5,Elk Lake Resort,X,X,,,OR,"Resort near Bend, popular with Central Oregon day visitors.",Halfmile PCT Resupply & Town Notes (2023)
63,1975,Three Sisters Wilderness,,,X,Yes,OR,"PCT passes between the North, Middle, and South Sister volcanic peaks.",USFS Deschutes NF
64,1984.7,Hwy 242 (Sisters / Bend access),X,X,,,OR,"McKenzie Pass highway crossing; Sisters 15 mi E, Bend 37 mi SE.",Halfmile PCT Resupply & Town Notes (2023)
65,1996.1,Santiam Pass / Big Lake Youth Camp,X,X,,,OR,Hwy 20/126 junction; hiker-friendly camp store just off trail.,Halfmile PCT Resupply & Town Notes (2023)
66,2020,Mt. Jefferson Wilderness,,,X,,OR,"PCT skirts Oregon's second-highest peak (10,497 ft); permanently rerouted after the 2020 Lionshead Fire.",USFS Willamette/Deschutes NF
67,2048.2,Olallie Lake Resort,X,X,,,OR,Small resort accessible via forest road; cash only.,Halfmile PCT Resupply & Town Notes (2023)
68,2089.1,Hwy 26 (Wapinitia Pass),X,X,,,OR,Highway trailhead; Government Camp 7.2 mi NW.,Halfmile PCT Resupply & Town Notes (2023)
69,2099.6,Timberline Lodge (Mt. Hood),X,X,X,Yes,OR,"Historic 1930s ski lodge on Oregon's highest peak (11,249 ft); accepts hiker resupply.",Halfmile PCT Resupply & Town Notes (2023)
70,2149.3,Cascade Locks / Bridge of the Gods,X,X,X,,OR/WA,Lowest point on the entire PCT (~140 ft); toll bridge crossing of the Columbia River Gorge into Washington.,Halfmile PCT Resupply & Town Notes (2023)
71,2149.9,"Stevenson, WA",X,X,,,WA,Washington-side town 3 mi E of the Bridge of the Gods.,Halfmile PCT Resupply & Town Notes (2023)
72,2185,Indian Heaven Wilderness,,,X,,WA,Volcanic plateau with dozens of small lakes between the Gorge and Mt. Adams.,USFS Gifford Pinchot NF
73,2231.5,Trout Lake / Mt. Adams Wilderness,X,X,X,,WA,"Forest Rd 23 access to the small town of Trout Lake, at the base of Mt. Adams (12,281 ft).",Halfmile PCT Resupply & Town Notes (2023)
74,2263,Goat Rocks Wilderness,,,X,,WA,"Alpine ridge walk (the ""Knife's Edge"") often cited as one of the PCT's most dramatic sections.",USFS Gifford Pinchot NF
75,2297.5,White Pass / Hwy 12,X,X,,,WA,Small ski area with convenience store; gateway to Packwood (20.5 mi W).,Halfmile PCT Resupply & Town Notes (2023)
76,2303,Chinook Pass / Hwy 410 (Mt. Rainier National Park),X,,X,Yes,WA,"PCT briefly enters the eastern edge of Mount Rainier National Park near its namesake 14,410-ft volcano.",WTA / NPS Mount Rainier
77,2395.7,Snoqualmie Pass / I-90,X,X,,,WA,Busy interstate ski-resort crossing with restaurants and a gas-station mini-mart.,Halfmile PCT Resupply & Town Notes (2023)
78,2415,Alpine Lakes Wilderness,,,X,,WA,"One of Washington's largest wilderness areas, traversed between Snoqualmie and Stevens Pass.",USFS Okanogan-Wenatchee NF
79,2466.7,Stevens Pass / Hwy 2,X,X,,,WA,Ski resort trailhead; gateway to Skykomish (16 mi W).,Halfmile PCT Resupply & Town Notes (2023)
80,2490,Henry M. Jackson Wilderness,,,X,,WA,Rugged wilderness area north of Stevens Pass.,USFS Okanogan-Wenatchee / Mt. Baker-Snoqualmie NF
81,2520,Glacier Peak Wilderness,,,X,Yes,WA,"One of the most remote sections of the entire PCT, circling Glacier Peak (10,541 ft); includes the hike-in-only Suiattle River / Milk Creek area with no road access.",USFS Mt. Baker-Snoqualmie NF
82,2574.5,Stehekin,X,X,X,,WA,"Remote community reachable only by trail, boat, or floatplane; shuttle bus links the PCT at High Bridge to town. Located in the Lake Chelan National Recreation Area (North Cascades National Park Complex).",Halfmile PCT Resupply & Town Notes (2023) / NPS
83,2593.8,Rainy Pass / Hwy 20 (North Cascades Highway),X,X,X,,WA,Last highway crossing before the Canadian border; gateway to Mazama and Winthrop; within North Cascades National Park Complex.,Halfmile PCT Resupply & Town Notes (2023) / erinexploring.com
84,2620,Hart's Pass,X,,X,,WA,"Highest point reachable by road in Washington State (6,198 ft); last resupply/bailout option before the border, inside the Pasayten Wilderness.",PCTA / USFS Okanogan-Wenatchee NF
85,2630,Pasayten Wilderness,,,X,,WA,"Vast, remote wilderness area the trail crosses in its final stretch to the border.",USFS Okanogan-Wenatchee NF
86,2653,US/Canada Border Monument / Northern Terminus,X,,X,Yes,WA/BC,"Northern terminus obelisk (Monument 78). NOTE: as of PCTA's 2025 data update, the connecting trail into Manning Park, BC was removed from official PCT data because entry into Canada at this point is no longer permitted -- northbound hikers currently must turn around at the monument and hike back out via Hart's Pass.",PCTA 2025 Centerline and Mile Marker Update
