#,Fire Name,Year,Start Date,State,County/Area,Nearest Town,Nearest PCT Landmark,Approx. PCT Mile,Latitude,Longitude,Size (Acres),Size (sq mi),Cause / Notes,Structures Destroyed,Fatalities,Financial Damage (Reported),Data Confidence,Source,% of RI
149,August Complex,2020,2020-08-16,CA,Glenn/Tehama/Mendocino/Lake/Trinity/Shasta,Elk Creek / Stonyford,Mendocino NF core - far west of PCT; Shasta/Trinity edge closer,~670 and 720,39.9,-122.8,1032648,1505.170313,Lightning; 935 structures destroyed; 1 firefighter fatality; largest CA fire on record. Core of fire (Mendocino NF) is well west of PCT corridor; only the Trinity/Shasta county edge is potentially within 50 mi -- NEEDS DISTANCE VERIFICATION for PCT relevance,935,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,August Complex fire (Wikipedia),0.974220267
33,McNally,2002,2002-07-21,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,150696,227.55,17 structures destroyed,17,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.1472815534
153,Antelope Fire,2021,2021-08-01,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,145632,215.709375,Lightning,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Antelope Fire (Wikipedia),0.1396177184
193,Riverside Fire,2020,2020-09-07,OR,Clackamas,Estacada,Mt. Hood NF,~2050-2090,45.15,-122.1,138054,209.4625,"Labor Day windstorm; Mt. Hood NF, PCT corridor; grew 112,000 acres in first 30 hours",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2020 Wildfire Summary,0.1355744337
113,Happy Camp Complex,2014,2014-08-14,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,134056,205.534375,6 structures destroyed,6,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.1330319579
194,Archie Creek Fire,2020,2020-09-07,OR,Douglas,Chemult / Diamond Lake,Umpqua NF / Windigo Pass,~1870-1910,43.25,-122.15,131542,198.8796875,"Labor Day windstorm; Umpqua NF near PCT corridor; PacifiCorp found liable, part of $575M settlement",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2020 Wildfire Summary,0.1287247168
199,Cedar Creek Fire (2022),2022,2022-08-01,OR,Lane,Oakridge,Willamette NF / Waldo Lake,~1930-1960,43.75,-122.15,127283,191.6453125,"Lightning; Willamette NF near Oakridge/Waldo Lake, directly on PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Cedar Creek Fire (Wikipedia),0.1240422735
154,McFarland Fire,2021,2021-07-30,CA,Shasta/Trinity/Tehama,Whiskeytown vicinity,Shasta-Trinity NF,"~1,350–1,400",40.7,-122.5,122653,181.2453125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2021 Incident Archive,0.1173108819
7,Bobcat Fire,2020,2020-09-06,CA,Southern California,Monrovia / Arcadia / Juniper Hills,Angeles Natl Forest segment,~mi 365-425,34.241,-117.868,115997,181.2453125,Tree contacted power line (Southern California Edison),169,0,100000000,Suppression cost ~$100M; SCE separately paid US govt $82.5M settlement (2025).,See Source #7,0.1173108819
190,Schneider Springs Fire,2021,2021-,WA,Yakima,Naches / White Pass,Okanogan-Wenatchee NF,~2280-2300,46.75,-121.3,107322,165.3203125,"Okanogan-Wenatchee NF, PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.1070034385
74,Iron Alps Complex,2008,2008-06-21,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"~1,500–1,550",40.85,-123.1,105805,165.109375,10 fatalities; NEEDS DISTANCE VERIFICATION,,10,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.1068669094
155,Beckwourth Complex,2021,2021-07-04,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,105670,156.896875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2021 Incident Archive,0.1015513754
52,Bar Complex,2006,2006-07-27,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,"~1,500–1,550",40.85,-123.1,100414,154.2421875,NEEDS DISTANCE VERIFICATION vs PCT,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2006 California wildfires (Wikipedia),0.09983313107
68,Lime Complex,2008,2008-06-20,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,1348,40.85,-123.1,98715,152.6828125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.09882382686
114,King,2014,2014-09-13,CA,El Dorado,South Lake Tahoe,Eldorado NF / Echo Summit,~1084-1093,38.83,-120.2,97717,152.3875,80 structures destroyed,80,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.09863268608
156,Windy Fire,2021,2021-09-09,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,97528,151.4078125,Lightning; 128 structures destroyed; killed hundreds of large sequoias,128,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Windy Fire (Wikipedia),0.09799858414
141,Ferguson Fire,2018,2018-07-13,CA,Mariposa/Tuolumne,Groveland,Stanislaus NF / Sonora Pass vicinity,~1000-1020,37.9,-119.8,96901,148.378125,Faulty vehicle catalytic converter; 2 firefighter fatalities; 10 structures destroyed,10,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Ferguson Fire (Wikipedia),0.09603762136
157,McCash Fire,2021,2021-08-18,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,94962,143.453125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2021 Incident Archive,0.09284991909
185,Cougar Peak Fire,2021,2021-,OR,Klamath/Lake,Beatty / Bly,Fremont-Winema NF,~1780-1820,42.55,-121.1,91810,142.6265625,Fremont-Winema NF,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.09231492718
2,Old Fire,2003,2003-10-25,CA,Southern California,San Bernardino / Lake Arrowhead / Crestline,San Bernardino Mtns segment,~mi 300-330,34.2,-117.28,91281,142.6265625,Arson (convicted: Rickie Lee Fowler),993,6,1200000000,PCT runs directly through the San Bernardino Mtns burn area.,See Source #2,0.09231492718
63,Harris,2007,2007-10-21,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,90440,137.9796875,"472 structures destroyed, 1 civilian fatality",472,1,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.0893072411
14,KNP Complex Fire,2021,2021-09-09,CA,Sierra Nevada,Sequoia National Park,~25-30 mi west of PCT/JMT crest (Mt. Whitney area),~mi 766-790,36.567,-118.811,88307,137.9796875,Lightning,4,0,170000000,Damage figure is reported suppression cost.,See Source #14,0.0893072411
125,Long Valley Fire,2017,2017-07-11,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,83733,128.415625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.08311690939
70,Blue 2 Complex,2008,2008-06-20,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,82186,127.853125,Merged into Klamath Theater Complex,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.08275283172
126,Detwiler Fire,2017,2017-07-16,CA,Mariposa,Mariposa,Yosemite south entrance vicinity,1017,37.65,-119.85,81826,122.965625,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2017 Incident Archive,0.07958940129
127,Eclipse Complex,2017,2017-08-15,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,78698,120.4390625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2017 Incident Archive,0.07795408576
121,River Complex (2015),2015,2015-07-30,CA,Trinity,Weaverville,Shasta-Trinity NF - western part,1600,40.85,-123.1,77081,119.98125,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,CAL FIRE 2015 Incident Archive,0.07765776699
161,Mosquito Fire,2022,2022-09-06,CA,El Dorado/Placer,Foresthill / Michigan Bluff,Tahoe/Eldorado NF,~1150-1170,39,-120.65,76788,117.5265625,Under investigation; 78 structures destroyed,78,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Mosquito Fire (Wikipedia) / CAL FIRE 2022 Incident Archive,0.07606897249
92,Chips,2012,2012-07-29,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,75217,116.3109375,9 structures destroyed,9,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.07528216019
22,Manter,2000,,CA,Tulare,Three Rivers / Kernville,Sequoia NF / Kern River,~766-800,36.1,-118.55,74439,113.0375,Unknown/notable per CalFire large fires list,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2000 California wildfires (Wikipedia),0.07316343042
79,Panther,2008,2008-07-24,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,72344,112.9828125,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.07312803398
203,High Cascades Complex,2017,2017-07-26,OR,Klamath/Douglas/Jackson,Crater Lake,Crater Lake NP / High Cascades,~1800-1830,42.94,-122.15,72309,110.73125,"Lightning; 20 fires across Crater Lake NP, Rogue River-Siskiyou, Umpqua, Fremont-Winema NFs -- directly on PCT corridor near Crater Lake",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,High Cascades Complex fires (Wikipedia),0.07167071197
116,Butte Fire (2015),2015,2015-09-09,CA,Amador/Calaveras,San Andreas / Jackson,Eldorado NF vicinity,~1050-1084,38.35,-120.55,70868,109.546875,"965 structures destroyed, 2 fatalities",965,2,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Butte Fire (Wikipedia),0.07090412621
186,Devils Knob Complex,2021,2021-,OR,Douglas,Chemult / Diamond Lake,Umpqua NF / Windigo Pass,~1870-1910,43.25,-122.15,70110,107.2453125,"Umpqua NF, near PCT Windigo Pass/Diamond Peak corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.06941444175
158,Tamarack Fire,2021,2021-07-04,CA,Alpine,Markleeville,"Mokelumne Wilderness / Hwy 4,88",~1084-1093,38.7,-119.85,68637,105.78125,Lightning; 23 structures destroyed; $8.7M damage; closed Hwy 4/88/89 PCT-adjacent corridor,23,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Tamarack Fire (Wikipedia),0.06846682848
25,Observation,2001,,CA,Lassen,Old Station,Lassen NF,~1360-1420,40.55,-121.1,67700,104.521875,Lightning,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2001 California wildfires (Wikipedia),0.06765169903
37,Grand Prix,2003,2003-10-21,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,66894,101.5578125,136 structures destroyed,136,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.06573321197
60,Moonlight,2007,2007-09-03,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,64997,98.9234375,21 structures destroyed,21,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.06402811489
143,Delta Fire,2018,2018-09-05,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,63311,96.875,Arson (Cynthia Ann LeRoux); 42 structures destroyed; near I-5/Castle Crags PCT corridor,42,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Delta Fire (Wikipedia),0.06270226537
48,Sawtooth Complex,2006,2006-07-09,CA,San Bernardino,Big Bear / Lake Arrowhead,San Bernardino NF,~205-342,34.2,-117.15,62000,96.390625,"273 structures destroyed, 1 civilian fatality",273,1,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2006 California wildfires (Wikipedia),0.06238875405
34,Pines,2002,2002-07-29,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,61690,94.1609375,Damaged electric power lines; 160 structures destroyed,160,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2002 California wildfires (Wikipedia),0.06094559061
182,Garnet Fire,2025,2025-08-24,CA,Fresno,Shaver Lake / Huntington Lake,Sierra NF,~870-906,37.1,-119.1,60263,93.965625,"Lightning-caused; north of Kings River, Sierra NF",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2025 California wildfires (Wikipedia),0.06081917476
15,McKinney Fire,2022,2022-07-29,CA,Northern California,Klamath River / Yreka,"Klamath Natl Forest, near Seiad Valley",~mi 1600-1620,41.833,-122.894,60138,93.965625,Under investigation,196,4,87400000,Deadliest CA wildfire of 2022.,See Source #15,0.06081917476
171,Borel Fire,2024,2024-07-24,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,59288,91.2515625,223 structures destroyed near Lake Isabella/Kernville,223,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Borel Fire 2024 (Wikipedia),0.0590625
62,Ranch (2007),2007,2007-10-20,CA,Los Angeles,Wrightwood,Angeles NF,~365-425,34.35,-117.8,58401,88.59375,"10 structures destroyed; NEEDS DISTANCE VERIFICATION (Castaic area, west edge of Angeles NF)",10,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2007 California wildfires (Wikipedia),0.05734223301
41,Paradise,2003,2003-10-26,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,56700,87.546875,"223 structures destroyed, 2 fatalities",223,2,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.05666464401
9,Bridge Fire,2024,2024-09-08,CA,Southern California,Wrightwood / Mount Baldy Village,Near Cajon Pass / Wrightwood,~mi 369,34.239,-117.762,56030,87.546875,Under investigation,81,0,,Original curated entry (see Source #9 in Sources tab),See Source #9,0.05666464401
191,Cedar Creek Fire (2021 WA),2021,2021-,WA,Okanogan,Winthrop,Okanogan-Wenatchee NF,~2570-2600,48.25,-120.6,55572,86.3453125,"Okanogan-Wenatchee NF, PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.05588693366
23,Storrie,2000,,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,55261,85.33125,Union Pacific railroad track repairs,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2000 California wildfires (Wikipedia),0.05523058252
145,Walker Fire (2019),2019,2019-09-04,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,54612,79.6109375,Under investigation,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,Walker Fire 2019 (Wikipedia),0.05152811489
195,Brattain Fire,2020,2020-09-,OR,Lake,Silver Lake / Paisley,Fremont-Winema NF,N/A (bordering),42.75,-120.75,50951,78.7640625,Fremont-Winema NF,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2020 Wildfire Summary,0.05097997573
187,Rough Patch Complex,2021,2021-,OR,Douglas,Chemult / Diamond Lake,Umpqua NF / Windigo Pass,~1870-1910,43.25,-122.15,50409,78.190625,"Umpqua NF, near PCT corridor",,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,USFS PNW 2021 Wildfire Summary,0.05060881877
112,July Complex,2014,2014-08-03,CA,Siskiyou,Etna / Seiad Valley,Klamath NF,~1600-1650,41.7,-122.85,50042,78.125,2 structures destroyed,2,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2014 California wildfires (Wikipedia),0.05056634304
20,Norse Peak Fire,2017,2017-08-11,WA,Washington,Chinook Pass / Mt. Rainier vicinity,Norse Peak Wilderness (PCT closed ~100 mi),~mi 2280-2380,46.95,-121.42,50000,78.125,"Lightning (Aug 10-11, 2017 storm)",,0,,PCTA reported closure of nearly 100 mi of PCT in WA. Final acreage approximate.,See Source #20,0.05056634304
67,Poomacha,2007,2007-10-23,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,49410,76.04375,217 structures destroyed,217,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2007 California wildfires (Wikipedia),0.04921925566
19,Eagle Creek Fire,2017,2017-09-02,OR,Oregon,Cascade Locks (Columbia River Gorge),PCT / Eagle Creek Trail (popular PCT alternate),~mi 2145,45.63,-121.904,48668,76.04375,Illegal use of fireworks by a minor,,0,36600000,"$36.6M is court-ordered restitution, not an independent damage appraisal.",See Source #19,0.04921925566
123,Erskine Fire,2016,2016-06-23,CA,Kern,Kernville / Lake Isabella,Kern River / Kennedy Meadows,~650-702,35.75,-118.45,48019,74.5,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,CAL FIRE 2016 Incident Archive,0.04822006472
73,Canyon Complex (2008),2008,2008-06-21,CA,Plumas,Quincy,Plumas NF,~1290-1330,39.95,-120.85,47680,74.4484375,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2008 California wildfires (Wikipedia),0.04818669094
81,Camp Beldon and Pit,2008,2008-07-08,CA,Butte,Paradise,Plumas NF vicinity,N/A (bordering),39.85,-121.4,47647,72.3296875,NEEDS DISTANCE VERIFICATION,,,,NEEDS DISTANCE VERIFICATION vs 50-mi PCT corridor,2008 California wildfires (Wikipedia),0.04681533172
38,Otay,2003,2003-10-26,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,46291,71.8921875,6 structures destroyed; 1 firefighter injured,6,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.04653216019
96,Bagley,2012,2012-08-18,CA,Shasta,Mt. Shasta City,Shasta-Trinity NF,~1500-1520,41,-122.2,46011,71.875,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2012 California wildfires (Wikipedia),0.0465210356
39,Mine,2003,2003-10-26,CA,San Diego,Julian / Mt. Laguna,Mt. Laguna / San Felipe Hills,~40-90,33,-116.6,46000,68.715625,Not specified,,,,County-level approximate coordinates; verify exact location against InciWeb/NIFC before publication,2003 California wildfires (Wikipedia),0.04447613269
